Company,Source / Entry point,Sector/Industry,HQ / Locations,Employee count / Size,Website,General email,Phone,LinkedIn URL,HR/People contact (name),HR contact title,HR contact email,HR mailbox (confirmed),HR contact email — inferred (pattern + basis),"CEO/Leadership (name, small cos)",Leadership email,Source(s),Relevance note,Status,All emails found (verbatim),Inferred emails (pattern + basis)
"Cikautxo Zaragoza, S.L.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Rubber components for automotive/industry,"P.I. San Valero, Zaragoza",medium,https://www.cikautxo.es,cikautxo@cikautxo.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.cikautxo.es,"Batch-3 directory candidate (broadened filter): Rubber components for automotive/industry, P.I. San Valero, Zaragoza. Assess corporate-housing fit/size.",partial,cikautxo@cikautxo.com,Pattern undetermined
"Ringo Válvulas, S.L.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Industrial valve manufacturing,"P.I. San Valero, Zaragoza",medium,https://www.ringospain.com,ringo@ringospain.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.ringospain.com,"Batch-3 directory candidate (broadened filter): Industrial valve manufacturing, P.I. San Valero, Zaragoza. Assess corporate-housing fit/size.",partial,ringo@ringospain.com,Pattern undetermined
"Maquinaria Colás, S.L.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),"Industrial machinery mfg/dist, CNC machining","P.I. San Valero, Zaragoza",small-medium,https://www.maquinariacolas.com,info@maquinariacolas.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.maquinariacolas.com,"Batch-3 directory candidate (broadened filter): Industrial machinery mfg/dist, CNC machining, P.I. San Valero, Zaragoza. Assess corporate-housing fit/size.",partial,info@maquinariacolas.com,Pattern undetermined
"Pinturas Pintado, S.A.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Industrial & construction paint mfg/dist,"P.I. San Valero, Zaragoza",small-medium,https://www.pinturaspintado.com,pintado@pinturaspintado.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.pinturaspintado.com,"Batch-3 directory candidate (broadened filter): Industrial & construction paint mfg/dist, P.I. San Valero, Zaragoza. Assess corporate-housing fit/size.",partial,pintado@pinturaspintado.com,Pattern undetermined
"Insyme, S.L.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Industrial assembly & maintenance,"P.I. San Valero, Zaragoza",small,https://www.insyme.com,administracion@insyme.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.insyme.com,"Batch-3 directory candidate (broadened filter): Industrial assembly & maintenance, P.I. San Valero, Zaragoza. Assess corporate-housing fit/size.",partial,administracion@insyme.com,Pattern undetermined
"Cafés El Criollo, S.A.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Coffee roaster (HORECA distribution),"P.I. San Valero, Zaragoza",small-medium,https://www.cafeselcriollo.com,ventas@cafeselcriollo.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.cafeselcriollo.com,"Batch-3 directory candidate (broadened filter): Coffee roaster (HORECA distribution), P.I. San Valero, Zaragoza. Assess corporate-housing fit/size.",partial,ventas@cafeselcriollo.es,Pattern undetermined
Actuator Industrias Electromecánicas,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Electromechanical actuators mfg,"P.I. San Valero, Zaragoza",small-medium,https://www.actuator-nps.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.actuator-nps.com,"Batch-3 directory candidate (broadened filter): Electromechanical actuators mfg, P.I. San Valero, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@actuator-nps.com (inferred)
Box Pack,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Packaging/boxes mfg,"P.I. San Valero, Zaragoza",small-medium,https://www.boxpack.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.boxpack.es,"Batch-3 directory candidate (broadened filter): Packaging/boxes mfg, P.I. San Valero, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@boxpack.es (inferred)
"Conducciones Hidro-Aragonesas, S.L.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Industrial hydraulic conduction/installation,"P.I. San Valero, Zaragoza",small-medium,https://www.hidro-aragonesas.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.hidro-aragonesas.com,"Batch-3 directory candidate (broadened filter): Industrial hydraulic conduction/installation, P.I. San Valero, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@hidro-aragonesas.com (inferred)
"Induama, S.L.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Industry/machinery mfg,"P.I. San Valero, Zaragoza",small-medium,https://www.induama.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.induama.com,"Batch-3 directory candidate (broadened filter): Industry/machinery mfg, P.I. San Valero, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@induama.com (inferred)
"Industrias AZ, S.L.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Metal products mfg,"P.I. San Valero, Zaragoza",small-medium,https://www.industriasaz.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.industriasaz.com,"Batch-3 directory candidate (broadened filter): Metal products mfg, P.I. San Valero, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@industriasaz.com (inferred)
"Industrias Ernesto Abad, S.A.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Metal stamping/drawing mfg,"P.I. San Valero, Zaragoza",small-medium,https://www.ernestoabad.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.ernestoabad.com,"Batch-3 directory candidate (broadened filter): Metal stamping/drawing mfg, P.I. San Valero, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@ernestoabad.com (inferred)
"Invesla, S.L.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Industrial manufacturing/services,"P.I. San Valero, Zaragoza",small-medium,https://www.invesla.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.invesla.com,"Batch-3 directory candidate (broadened filter): Industrial manufacturing/services, P.I. San Valero, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@invesla.com (inferred)
Jaysso,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Industry/manufacturing,"P.I. San Valero, Zaragoza",small,https://www.jaysso.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.jaysso.es,"Batch-3 directory candidate (broadened filter): Industry/manufacturing, P.I. San Valero, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@jaysso.es (inferred)
"Rodi T.R., S.L.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Tyre wholesale/retreading & services,"P.I. San Valero, Zaragoza",medium,https://www.rodi.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.rodi.es,"Batch-3 directory candidate (broadened filter): Tyre wholesale/retreading & services, P.I. San Valero, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@rodi.es (inferred)
"Alsimet (Almacenes Siderometalúrgicos), S.A.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Metals & aluminium warehouse/distribution,"P.I. Cogullada, Zaragoza",medium,https://www.alsimet.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.alsimet.es,"Batch-3 directory candidate (broadened filter): Metals & aluminium warehouse/distribution, P.I. Cogullada, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,alsimet@alsimet.es (inferred)
"Alumafel, S.A.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Aluminium carpentry/profiles mfg,"P.I. Cogullada, Zaragoza",small-medium,https://www.alumafel.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.alumafel.es,"Batch-3 directory candidate (broadened filter): Aluminium carpentry/profiles mfg, P.I. Cogullada, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@alumafel.es (inferred)
"Amafri, S.L.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Industrial refrigeration,"P.I. Cogullada, Zaragoza",small,https://www.amafri.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.amafri.es,"Batch-3 directory candidate (broadened filter): Industrial refrigeration, P.I. Cogullada, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@amafri.es (inferred)
Auxime,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Industrial services/supplies,"P.I. Cogullada, Zaragoza",small,https://www.auxime.net,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.auxime.net,"Batch-3 directory candidate (broadened filter): Industrial services/supplies, P.I. Cogullada, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@auxime.net (inferred)
"Ayma Herramientas, S.A.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Tool manufacturing/distribution,"P.I. Cogullada, Zaragoza",small-medium,https://www.ayma.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.ayma.es,"Batch-3 directory candidate (broadened filter): Tool manufacturing/distribution, P.I. Cogullada, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@ayma.es (inferred)
"Enarco, S.A.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Concrete vibration & compaction machinery mfg,"P.I. Cogullada/PLAZA, Zaragoza",medium,https://www.enar.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.enar.es,"Batch-3 directory candidate (broadened filter): Concrete vibration & compaction machinery mfg, P.I. Cogullada/PLAZA, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,enarco@enar.es (inferred)
Endopack,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Packaging mfg,"P.I. Cogullada, Zaragoza",small-medium,https://www.endopack.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.endopack.com,"Batch-3 directory candidate (broadened filter): Packaging mfg, P.I. Cogullada, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@endopack.com (inferred)
"Fabrivas, S.A.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Industrial manufacturing,"P.I. Cogullada, Zaragoza",small-medium,https://www.fabrivas.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.fabrivas.es,"Batch-3 directory candidate (broadened filter): Industrial manufacturing, P.I. Cogullada, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@fabrivas.es (inferred)
"Aspe Manutención, S.L. (Alfaland)",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),"Logistics/materials handling, forklifts","P.I. Cogullada, Zaragoza",medium,https://www.alfaland.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.alfaland.es,"Batch-3 directory candidate (broadened filter): Logistics/materials handling, forklifts, P.I. Cogullada, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@alfaland.es (inferred)
"K.L. Aluminio, S.L. (Sistemas KL)",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Aluminium profiles/systems mfg,"P.I. Cogullada, Zaragoza",small-medium,https://www.sistemaskl.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.sistemaskl.com,"Batch-3 directory candidate (broadened filter): Aluminium profiles/systems mfg, P.I. Cogullada, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@sistemaskl.com (inferred)
Mainfer,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Industrial hardware & tools distribution,"P.I. Cogullada, Zaragoza",small-medium,https://www.mainfer.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.mainfer.com,"Batch-3 directory candidate (broadened filter): Industrial hardware & tools distribution, P.I. Cogullada, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@mainfer.com (inferred)
"Marena, S.L.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Industry/manufacturing,"P.I. Cogullada, Zaragoza",small,https://www.marenasl.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.marenasl.com,"Batch-3 directory candidate (broadened filter): Industry/manufacturing, P.I. Cogullada, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@marenasl.com (inferred)
Serma,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Industrial services/supplies,"P.I. Cogullada, Zaragoza",small,https://www.serma.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.serma.es,"Batch-3 directory candidate (broadened filter): Industrial services/supplies, P.I. Cogullada, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@serma.es (inferred)
"Luflube, S.L.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Industrial lubricants distribution,"P.I. Cogullada, Zaragoza",small,https://www.luflube.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.luflube.com,"Batch-3 directory candidate (broadened filter): Industrial lubricants distribution, P.I. Cogullada, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@luflube.com (inferred)
Indual / Mindual,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Industrial technology/services,"P.I. Cogullada, Zaragoza",small,https://www.mindual.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://www.mindual.com,"Batch-3 directory candidate (broadened filter): Industrial technology/services, P.I. Cogullada, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@mindual.com (inferred)
Cárnicas Cinco Villas S.A.,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13),Meat processing / porcine slaughterhouse,Ejea de los Caballeros (Zaragoza prov.),medium,https://carnicascincovillas.com,sales@carnicascincovillas.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster dirs) + web - batch 3 (2026-06-13); https://carnicascincovillas.com,"Batch-3 directory candidate (broadened filter): Meat processing / porcine slaughterhouse, Ejea de los Caballeros. Assess corporate-housing fit/size.",partial,sales@carnicascincovillas.com,Pattern undetermined
